id,type,domain,enabled,date_added,date_modified,comment
128,0,developers.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
129,0,members.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
130,0,www.api.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
131,0,www.cdn-audio-1.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
132,0,o1.email.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
133,0,o2.email.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
134,0,www.cdn-images-2.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
135,0,www.collateral.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
136,0,www.brands.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
137,0,textshot.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
138,0,cdn-static-1.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
139,0,www.members.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
140,0,www.textshot.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
141,0,www.noteworthy.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
142,0,noteworthy.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
143,0,www.publishers.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
144,0,www.help.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
145,0,play.googleapis.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
146,0,www.play.googleapis.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
147,0,translate.google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
148,0,github.io,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
149,0,login.live.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
150,0,www.theguardian.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
151,0,theguardian.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
152,0,www.techradar.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
153,0,techradar.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
154,0,betanews.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
155,0,www.betanews.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
156,0,www.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
157,0,techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
158,0,downloads.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
159,0,secure.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
160,0,m.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
161,0,www.m.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
162,0,www.downloads.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
163,0,blog.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
164,0,www.blog.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
165,0,www.cdn-origin01.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
166,0,cdn-origin01.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
167,0,blogs.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
168,0,www.blogs.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
169,0,apex.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
170,0,bwp.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
171,0,cms.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
172,0,ct.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
173,0,dw.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
174,0,enews.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
175,0,itpapers.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
176,0,japan.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
177,0,li.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
178,0,ma.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
179,0,nls.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
